*/////////////////////////////////////////////
* DIP
*/////////////////////////////////////////////
*型式		注文番号	分類	FP種類	ピン数	ピン間	列間	ピン直径
OPA637AP	I-08613		IC	DIL	8	2.54	7.62	0.5
NJU7002D	I-09543		IC	DIL	8	2.54	7.62	0.5
OPA2107AP	I-08614		IC	DIL	8	2.54	7.62	0.5
NJM4562D	I-07099		IC 	DIL	8	2.54	7.62	0.5
AE-UM232R	K-01977		IC 	DIL	24	2.54	15.24	0.64
MCP23017-E_SP	I-09486		IC	DIL	28	2.54	7.62	0.5
AE-FXMA2102	M-05825		IC	DIL	8	2.54	7.62	0.64
AE-FT245R	K-01799		IC	DIL	24	2.54	15.24	0.64
LT1785CN8	I-02791		IC	DIL	8	2.54	7.62	0.5
AE-FT231X	K-06894		IC	DIL	18	2.54	12.7	0.64
LTC1485		I-01869		IC	DIL	8	2.54	7.62	0.5
SP3232ECP	I-00198		IC	DIL	16	2.54	7.62	0.5
SP233ACP	I-00197		IC	DIL	20	2.54	7.62	0.5
LC9806		I-04503		IC	DIL	8	2.54	7.62	0.5
LC9801		I-04502		IC	DIL	8	2.54	7.62	0.5
SC2262IR	I-04508		IC	DIL	18	2.54	7.62	0.5
SC2272-M4	I-04512		IC	DIL	18	2.54	7.62	0.5
ENC28J60_SP	I-01948		IC	DIL	28	2.54	7.62	0.5
AE_ADC12138	M-08223		IC	DIL	28	2.54	15.24	0.64
SC2272-T4	I-04513		IC	DIL	18	2.54	7.62	0.5
SC2262		I-04507		IC	DIL	18	2.54	7.62	0.5
SC2272-L4	I-04511		IC	DIL	18	2.54	7.62	0.5
TC6367AN	I-02029		IC	DIL	64	1.778	17.8	0.46



*/////////////////////////////////////////////
* SOP
*/////////////////////////////////////////////
*型式		注文番号	分類	FP種類	ピン数	ピン間	列間	SOピン幅	SOピン長さ
*-----------------------------------------------------------------------------------------------------
TLP291		I-07189		PC	SOP	4	1.27	6.5	0.38		0.5
FT232RL		I-01739		IC	SOP	28	0.65	7.05	0.3		0.75
FT231XS-R	I-06713		IC	SOP	20	0.635	5.3594	0.254		0.635	
NJM2732M	I-06018		IC	SOP	8	1.27	5.9	0.35		0.5
ACPL-244-500E	I-07019		PC	SOP	16	1.27	6.1	0.4		0.7
TD62783AFG	I-07205		TR	SOP	18	1.27	8.6	0.4		0.7
NJW4800GM1-TE2	I-04728		IC	SOP	8	1.27	5.3	0.4		0.4
BD6211F-E2	I-05087		IC	SOP	8	1.27	5.3	0.42		0.3
PIC16F630-I_SL	I-02110		MCU	SOP	14	1.27	4.9	0.51		1.27
NJU77002RB1	I-08068		IC	SOP	8	1.27	4.9	0.4		0.8
BD6231F-E2	I-05088		IC	SOP	8	1.27	5.3	0.42		0.3
S9706		I-02493		SENS	SOP	6	1.27	6.3	0.5		0.7
uPD6376GS	I-01953		IC	SOP	16	1.27	7.1	0.40		0.6
LM324N		I-00959		IC	SOP	14	1.27	4.9	0.51		1.27
ADM3202ARN	I-01279		IC	SOP	16	1.27	7.3	0.49		1.27
FT245RL		I-01741		IC	SOP	28	0.65	7.15	0.3		0.75
LT1963AES8-3.3TRPBF	I-02558	IC	SOP	8	1.270	4.920	0.483		1.270
FDS4935A	I-01246		FET	SOP	8	1.27	5.3	0.51		0.90
DS3234S		I-05006		IC	SOP	20	1.27	9.9	0.35		0.4
FDS4897C	I-09727		FET	SOP	8	1.27	5.3	0.51		0.90
B1010S		I-06015		D	SOP	4	2.7	6.0	0.8		1.0
M51957B		I-02284		IC	SOP	8	1.27	5.75	0.4		0.45
TD62083AFG	I-03769		TR	SOP	18	1.27	9.7	0.4		0.7
S9032-02	I-09763		SENS	SOP	6	1.27	6.3	0.5		0.7
PS7200K-1A	I-08268		FET	SOP	8	2.54	6.5	0.5		0.4
TD62083AFNG	I-05058		TR	SOP	18	0.65	5.72	0.24		0.45
ICL3232CVZ	I-02375		IC	SOP	16	0.65	5.75	0.3		0.75
NDS9936		I-01233		IC	SOP	8	1.27	7.3	0.5		0.5
TPC8407_LQ	I-10004		FET	SOP	8	1.27	5.24	0.41		0.76
