*/////////////////////////////////////////////
* DIP
*/////////////////////////////////////////////
*型式		注文番号	分類	FP種類	ピン数	ピン間	列間	ピン直径
*--------------------------------------------------------------------------------------------------
IRLML6344TRPBFTR	I-06049	FET	SOT23	1.90		2.04		0.5	0.60
IRLML6402	I-02553		FET	SOT23	1.40		2.04		0.50	0.60
IRFML8244TRPBFTR	I-06051	FET	SOT23	0.95		2.1		0.5	0.6
LM4040AIM3-4.1_NOPB	I-06479	REG	SOT23	0.95		2.04		0.5	0.60
US1881LSETR		I-05275	SENS	SOT23	1.90		2.35		0.45	0.40



*/////////////////////////////////////////////
* TO-92 (2SC1815など)
*/////////////////////////////////////////////
*型式		注文番号	分類	FP種類
*----------------------------------------------
TA78L05S	I-08973		REG	TO92
LM35DZ		I-00116		IC	TO92
2SK369-V	I-09670		FET	TO92
2SC1815Y	I-04268		TR	TO92
XC6202P502TB	I-01190		REG	TO92
2SC3355L-T92-K	I-09742		TR	TO92
2SK303L-V3	I-09507		FET	TO92
LP2950L-3.3V	I-08749		REG	TO92
2SC1815GR	I-00881		TR	TO92
BF256B		I-09856		FET	TO92
2SA1015GR	I-00882		TR	TO92
BS170		I-09724		TR	TO92
2SK192A-Y	I-09749		TR	TO92
XC6202P332TH	I-09119		TR	TO92
UTC UM66T11LK	I-07053		IC	TO92
NJM431L		I-00431		REG	TO92
2SC2458		I-07780		TR	TO92
J211_D74Z	I-09857		FET	TO92
2SC1815L-GR	I-06477		TR	TO92
2SA970GR	I-04252		TR	TO92
UM66T-01L	I-06990		TR	TO92
TA78L05S	I-02694		REG	TO92
PF5102		I-09858		FET	TO92
2SA1015Y	I-02612		TR	TO92
2SC2240-GR	I-03976		TR	TO92
KSP13		I-09599		TR	TO92
2SA1015L-GR	I-06734		TR	TO92
CDT3460-02	I-08752		TR	TO92
2N7000		I-03918		TR	TO92
UM66T-68L	I-06992		TR	TO92
2SC2655L-Y	I-08746		TR	TO92
2SA950-Y	I-02730		TR	TO92
2SJ496TZ-E	I-09040		TR	TO92
HT7750A		I-02800		IC	TO92
RN1201		I-07779		TR	TO92
2SC1815L-Y	I-06475		TR	TO92
2SC2120-Y	I-02732		TR	TO92
CL0117		I-06465		IC	TO92
NJM1431A	I-05195		REG	TO92
NJM78L05L2A	I-09173		REG	TO92
LP2950L-5.0V	I-08750		REG	TO92
LM79L05A	I-09448		REG	TO92
TLE2426CLP	I-06868		IC	TO92
LM61CIZ		I-02726		SENS	TO92
2SK117-Y_TPE2.F	I-06911		FET	TO92
LM78L05A	I-03424		REG	TO92
2N3904BU	I-05962		TR	TO92
LM61BIZ		I-09691		SENS	TO92
LM60BIZ		I-02490		SENS	TO92
2SC1923-Y	I-07927		TR	TO92
2N7000		I-09723		FET	TO92
S-812C33AY-B-G	I-03289		REG	TO92
CL0116		I-06279		IC	TO92
NJM78L05	I-04919		REG	TO92
2SC1815GR	I-00410		TR	TO92
UTC_UM66T19LK	I-07054		IC	TO92
TMG1C60		I-09132		OTHER	TO92
HT7733A		I-02799		IC	TO92
2SA1020L-Y	I-08745		TR	TO92
UTC_UM66T08LK	I-07052		IC	TO92
UTC7642		I-03297		IC	TO92
LM317L		I-09447		REG	TO92
UTC_UM66T05LK	I-07051		IC	TO92
J112		I-09722		FET	TO92
2SA950-Y	I-02731		TR	TO92


*/////////////////////////////////////////////
* 抵抗/ダイオード/積層セラコンなどの2ピン表面実装部品
*/////////////////////////////////////////////
*型式		注文番号	分類	FP種類	部品長さ	部品幅	ピン間隔	ピン幅	ピン長さ
*---------------------------------------------------------------------------------------------------------
NSI45020AT1G	I-0613		IC	SMD	2.69		1.60	3.19		0.61	0.25
NSI50350AST3G	I-08394		D	SMD	6.86		5.84	8.02		3.00	1.02
NSI45030AT1G	I-06134		IC	SMD	2.69		1.60	3.19		0.61	0.25
RB160M-30TR	I-01398		D	SMD	2.6		1.6	3.05		0.9	0.45
SS2040FL	I-02073		D	SMD	2.95		1.95	2.9		1.05	0.80
NSI45015WT1G	I-06175		IC	SMD	2.69		1.60	3.43		0.61	0.25
GS1010FL	I-06014		D	SMD	2.9		1.9	3.0		1.1	0.72
S-103T		I-06283		D	SMD	2.6		1.6	3.05		0.9	0.6
S-562T		I-06282		D	SMD	2.6		1.6	3.05		0.9	0.6


*/////////////////////////////////////////////
* ピンヘッダ(1列品はSILとして作成)
*/////////////////////////////////////////////
PHA-1x20SG	C-04398	PINHEADER	SIL	20	2.54	0	0.5
PHA-1x40SG	C-06631	PINHEADER	SIL	40	2.54	0	0.5
PHA-1x4SG	C-04392	PINHEADER	SIL	4	2.54	0	0.5
PHA-1x8SG	C-04394	PINHEADER	SIL	8	2.54	0	0.5
PHA-1x14SG	C-04397	PINHEADER	SIL	14	2.54	0	0.5
PHA-1x7SG	C-04393	PINHEADER	SIL	7	2.54	0	0.5
PHA-1x40RG	C-06363	PINHEADER	SIL	40	2.54	0	0.5
PHA-1x3SG	C-04391	PINHEADER	SIL	3	2.54	0	0.5
PHA-1x9SG	C-04395	PINHEADER	SIL	9	2.54	0	0.5
PHA-1x10SG	C-04396	PINHEADER	SIL	10	2.54	0	0.5
2199SA-40G-3015-23	C-03865	PINHEADER	SIL	40	1.27	0	0.4
